rank,ratio_usd_per_100,website,name,price_usd,value,needs_check,flags,price_outlier_hint,cross_shop_median_usd,eur_per_100_from_usd,usd_to_eur_rate,fx_source,fx_timestamp
1,2.3056,StarPets,Chroma Icecream,41.50,1800,False,,True,115.59,1.9932,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
2,2.3951,StarPets,Turkey,58.68,2450,False,,True,151.34,2.0706,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
3,2.4000,StarPets,Chroma Evergun,1800.00,75000,False,,False,3078.02,2.0749,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
4,2.4923,StarPets,Icecream,3.24,130,False,,True,7.89,2.1547,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
5,2.4960,StarPets,Watergun,6.24,250,False,,True,18.19,2.1579,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
6,2.5280,StarPets,Snow Dagger,6.32,250,False,,True,15.19,2.1855,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
7,2.5503,StarPets,Gingerscope,452.68,17750,False,,False,825.29,2.2048,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
8,2.5929,StarPets,Snowcannon,22.04,850,False,,False,46.79,2.2417,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
9,2.5980,StarPets,C. Constellation,701.47,27000,False,,False,999.00,2.2461,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
10,2.6577,StarPets,Snowstorm,6.91,260,False,,True,16.69,2.2977,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
11,2.6757,StarPets,Luger,0.99,37,False,,True,3.39,2.3132,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
12,2.6923,StarPets,Gingerblade,0.35,13,False,,True,1.00,2.3276,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
13,2.6986,LOLGA,Gingerscope,479.00,17750,False,,False,825.29,2.3330,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
14,2.7107,StarPets,Waves,7.59,280,False,,True,20.79,2.3435,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
15,2.7191,StarPets,Sunrise,30.59,1125,False,,False,62.29,2.3507,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
16,2.7275,StarPets,Evergun,94.10,3450,False,,False,187.09,2.3580,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
17,2.7341,StarPets,Darksword,48.53,1775,False,,False,93.59,2.3637,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
